1,"Der Herr der Ringe","JRR Tolkien","ZDF Grosse Lesen"
2,"Die Bibel",,"ZDF Grosse Lesen"
3,"Die Säulen der Erde","Ken Follett","ZDF Grosse Lesen"
4,"Das Parfum","Patrick Süskind","ZDF Grosse Lesen"
5,"Der kleine Prinz","Antoine de Saint-Exupéry","ZDF Grosse Lesen"
6,"Buddenbrooks","Thomas Mann","ZDF Grosse Lesen"
7,"Der Medicus","Noah Gordon","ZDF Grosse Lesen"
8,"Der Alchimist","Paulo Coelho","ZDF Grosse Lesen"
9,"Harry Potter und der Stein der Weisen","JK Rowling","ZDF Grosse Lesen"
10,"Die Päpstin","Donna W. Cross","ZDF Grosse Lesen"
11,"Tintenherz","Cornelia Funke","ZDF Grosse Lesen"
12,"Feuer und Stein","Diana Gabaldon","ZDF Grosse Lesen"
13,"Das Geisterhaus","Isabel Allende","ZDF Grosse Lesen"
14,"Der Vorleser","Bernhard Schlink","ZDF Grosse Lesen"
15,"Faust. Der Tragödie erster Teil","Johann Wolfgang von Goethe","ZDF Grosse Lesen"
16,"Der Schatten des Windes","Carlos Ruiz Zafón","ZDF Grosse Lesen"
17,"Stolz und Vorurteil","Jane Austen","ZDF Grosse Lesen"
18,"Der Name der Rose","Umberto Eco","ZDF Grosse Lesen"
19,"Illuminati","Dan Brown","ZDF Grosse Lesen"
20,"Effi Briest","Theodor Fontane","ZDF Grosse Lesen"
21,"Harry Potter und der Orden des Phönix","J. K. Rowling","ZDF Grosse Lesen"
22,"Der Zauberberg","Thomas Mann","ZDF Grosse Lesen"
23,"Vom Winde verweht","Margaret Mitchell","ZDF Grosse Lesen"
24,"Siddharta","Hermann Hesse","ZDF Grosse Lesen"
25,"Die Entdeckung des Himmels","Harry Mulisch","ZDF Grosse Lesen"
26,"Die unendliche Geschichte","Michael Ende","ZDF Grosse Lesen"
27,"Das verborgene Wort","Ulla Hahn","ZDF Grosse Lesen"
28,"Die Asche meiner Mutter","Frank McCourt","ZDF Grosse Lesen"
29,"Narziss und Goldmund","Hermann Hesse","ZDF Grosse Lesen"
30,"Die Nebel von Avalon","Marion Zimmer Bradley","ZDF Grosse Lesen"
31,"Deutschstunde","Siegfried Lenz","ZDF Grosse Lesen"
32,"Die Glut","Sándor Márai","ZDF Grosse Lesen"
33,"Homo faber","Max Frisch","ZDF Grosse Lesen"
34,"Die Entdeckung der Langsamkeit","Sten Nadolny","ZDF Grosse Lesen"
35,"Die unerträgliche Leichtigkeit des Seins","Milan Kundera","ZDF Grosse Lesen"
36,"Hundert Jahre Einsamkeit","Gabriel Garcia Márquez","ZDF Grosse Lesen"
37,"Owen Meany","John Irving","ZDF Grosse Lesen"
38,"Sofies Welt","Jostein Gaarder","ZDF Grosse Lesen"
39,"Per Anhalter durch die Galaxis","Douglas Adams","ZDF Grosse Lesen"
40,"Die Wand","Marlen Haushofer","ZDF Grosse Lesen"
41,"Gottes Werk und Teufels Beitrag","John Irving","ZDF Grosse Lesen"
42,"Die Liebe in den Zeiten der Cholera","Gabriel Garcia Márquez","ZDF Grosse Lesen"
43,"Der Stechlin","Theodor Fontane","ZDF Grosse Lesen"
44,"Der Steppenwolf","Hermann Hesse","ZDF Grosse Lesen"
45,"Wer die Nachtigal stört","Harper Lee","ZDF Grosse Lesen"
46,"Joseph und seine Brüder","Thomas Mann","ZDF Grosse Lesen"
47,"Der Laden","Erwin Strittmatter","ZDF Grosse Lesen"
48,"Die Blechtrommel","Günter Grass","ZDF Grosse Lesen"
49,"Im Westen nichts Neues","Erich Maria Remarque","ZDF Grosse Lesen"
50,"Der Schwarm","Frank Schätzing","ZDF Grosse Lesen"
51,"Wie ein einziger Tag","Nicholas Sparks","ZDF Grosse Lesen"
52,"Harry Potter und der Gefangene von Askaban","JK Rowling","ZDF Grosse Lesen"
53,"Momo","Michael Ende","ZDF Grosse Lesen"
54,"Jahrestage","Uwe Johnson","ZDF Grosse Lesen"
55,"Traumfänger","Marlo Morgan","ZDF Grosse Lesen"
56,"Der Fänger im Roggen","Jerome David Salinger","ZDF Grosse Lesen"
57,"Sakrileg","Dan Brown","ZDF Grosse Lesen"
58,"Krabat","Otfried Preußler","ZDF Grosse Lesen"
59,"Pippi Langstrumpf","Astrid Lindgren","ZDF Grosse Lesen"
60,"Wüstenblume","Waris Dirie","ZDF Grosse Lesen"
61,"Geh, wohin dein Herz dich trägt","Susanna Tamaro","ZDF Grosse Lesen"
62,"Hannas Töchter","Marianne Fredriksson","ZDF Grosse Lesen"
63,"Mittsommermord","Henning Mankell","ZDF Grosse Lesen"
64,"Die Rückkehr des Tanzlehrers","Henning Mankell","ZDF Grosse Lesen"
65,"Das Hotel New Hampshire","John Irving","ZDF Grosse Lesen"
66,"Krieg und Frieden","Leo Tolstoi","ZDF Grosse Lesen"
67,"Das Glasperlenspiel","Hermann Hesse","ZDF Grosse Lesen"
68,"Die Muschelsucher","Rosamunde Pilcher","ZDF Grosse Lesen"
69,"Harry Potter und der Feuerkelch","JK Rowling","ZDF Grosse Lesen"
70,"Tagebuch","Anne Frank","ZDF Grosse Lesen"
71,"Salz auf unserer Haut","Benoite Groult","ZDF Grosse Lesen"
72,"Jauche und Levkojen","Christine Brückner","ZDF Grosse Lesen"
73,"Die Korrekturen","Jonathan Franzen","ZDF Grosse Lesen"
74,"Die weiße Massai","Corinne Hofmann","ZDF Grosse Lesen"
75,"Was ich liebte","Siri Hustvedt","ZDF Grosse Lesen"
76,"Die dreizehn Leben des Käpt’n Blaubär","Walter Moers","ZDF Grosse Lesen"
77,"Das Lächeln der Fortuna","Rebecca Gablé","ZDF Grosse Lesen"
78,"Monsieur Ibrahim und die Blumen des Koran","Eric-Emmanuel Schmitt","ZDF Grosse Lesen"
79,"Winnetou","Karl May","ZDF Grosse Lesen"
80,"Désirée","Annemarie Selinko","ZDF Grosse Lesen"
81,"Nirgendwo in Afrika","Stefanie Zweig","ZDF Grosse Lesen"
82,"Garp und wie er die Welt sah","John Irving","ZDF Grosse Lesen"
83,"Die Sturmhöhe","Emily Brontë","ZDF Grosse Lesen"
84,"P.S. Ich liebe Dich","Cecilia Ahern","ZDF Grosse Lesen"
85,"1984","George Orwell","ZDF Grosse Lesen"
86,"Mondscheintarif","Ildiko von Kürthy","ZDF Grosse Lesen"
87,"Paula","Isabel Allende","ZDF Grosse Lesen"
88,"Solange du da bist","Marc Levy","ZDF Grosse Lesen"
89,"Es muss nicht immer Kaviar sein","Johanns Mario Simmel","ZDF Grosse Lesen"
90,"Veronika beschließt zu sterben","Paulo Coelho","ZDF Grosse Lesen"
91,"Der Chronist der Winde","Henning Mankell","ZDF Grosse Lesen"
92,"Der Meister und Margarita","Michail Bulgakow","ZDF Grosse Lesen"
93,"Schachnovelle","Stefan Zweig","ZDF Grosse Lesen"
94,"Tadellöser & Wolff","Walter Kempowski","ZDF Grosse Lesen"
95,"Anna Karenina","Leo Tolstoi","ZDF Grosse Lesen"
96,"Schuld und Sühne","Fjodor Dostojewski","ZDF Grosse Lesen"
97,"Der Graf von Monte Christo","Alexandre Dumas","ZDF Grosse Lesen"
98,"Der Puppenspieler","Tanja Kinkel","ZDF Grosse Lesen"
99,"Jane Eyre","Charlotte Brontë","ZDF Grosse Lesen"
100,"Rote Sonne, schwarzes Land","Barbara Wood","ZDF Grosse Lesen"
