1,"To Kill a Mockingbird",,"The great american read"
2,"Outlander (Series)",,"The great american read"
3,"Harry Potter (Series)",,"The great american read"
4,"Pride and Prejudice",,"The great american read"
5,"Lord of the Rings",,"The great american read"
6,"Gone with the Wind",,"The great american read"
7,"Charlotte's Web",,"The great american read"
8,"Little Women",,"The great american read"
9,"Chronicles of Narnia",,"The great american read"
10,"Jane Eyre",,"The great american read"
11,"Anne of Green Gables",,"The great american read"
12,"Grapes of Wrath",,"The great american read"
13,"A Tree Grows in Brooklyn",,"The great american read"
14,"Book Thief",,"The great american read"
15,"Great Gatsby",,"The great american read"
16,"The Help",,"The great american read"
17,"The Adventures of Tom Sawyer",,"The great american read"
18,"1984",,"The great american read"
19,"And Then There Were None",,"The great american read"
20,"Atlas Shrugged",,"The great american read"
21,"Wuthering Heights",,"The great american read"
22,"Lonesome Dove",,"The great american read"
23,"Pillars of the Earth",,"The great american read"
24,"Stand",,"The great american read"
25,"Rebecca",,"The great american read"
26,"A Prayer for Owen Meany",,"The great american read"
27,"Color Purple",,"The great american read"
28,"Alice in Wonderland",,"The great american read"
29,"Great Expectations",,"The great american read"
30,"Catcher in the Rye",,"The great american read"
31,"Where the Red Fern Grows",,"The great american read"
32,"Outsiders",,"The great american read"
33,"The Da Vinci Code",,"The great american read"
34,"The Handmaid's Tale",,"The great american read"
35,"Dune",,"The great american read"
36,"The Little Prince",,"The great american read"
37,"Call of the Wild",,"The great american read"
38,"The Clan of the Cave Bear",,"The great american read"
39,"The Hitchhiker's Guide to The Galaxy",,"The great american read"
40,"The Hunger Games",,"The great american read"
41,"The Count of Monte Cristo",,"The great american read"
42,"The Joy Luck Club",,"The great american read"
43,"Frankenstein",,"The great american read"
44,"The Giver",,"The great american read"
45,"Memoirs of a Geisha",,"The great american read"
46,"Moby Dick",,"The great american read"
47,"Catch 22",,"The great american read"
48,"Game of Thrones (series)",,"The great american read"
49,"Foundation (series)",,"The great american read"
50,"War and Peace",,"The great american read"
51,"Their Eyes Were Watching God",,"The great american read"
52,"Jurassic Park",,"The great american read"
53,"The Godfather",,"The great american read"
54,"One Hundred Years of Solitude",,"The great american read"
55,"The Picture of Dorian Gray",,"The great american read"
56,"The Notebook",,"The great american read"
57,"The Shack",,"The great american read"
58,"A Confederacy of Dunces",,"The great american read"
59,"The Hunt for Red October",,"The great american read"
60,"Beloved",,"The great american read"
61,"The Martian",,"The great american read"
62,"The Wheel of Time (series)",,"The great american read"
63,"Siddhartha",,"The great american read"
64,"Crime and Punishment",,"The great american read"
65,"The Sun Also Rises",,"The great american read"
66,"The Curious Incident of the Dog in the Nighttime",,"The great american read"
67,"A Separate Peace",,"The great american read"
68,"Don Quixote",,"The great american read"
69,"The Lovely Bones",,"The great american read"
70,"The Alchemist",,"The great american read"
71,"Hatchet (series)",,"The great american read"
72,"Invisible Man",,"The great american read"
73,"The Twilight Saga (series)",,"The great american read"
74,"Tales of the City (series)",,"The great american read"
75,"Gulliver's Travels",,"The great american read"
76,"Ready Player One",,"The great american read"
77,"Left Behind (series)",,"The great american read"
78,"Gone Girl",,"The great american read"
79,"Watchers",,"The great american read"
80,"The Pilgrim's Progress",,"The great american read"
81,"Alex Cross Mysteries (series)",,"The great american read"
82,"Things Fall Apart",,"The great american read"
83,"Heart of Darkness",,"The great american read"
84,"Gilead",,"The great american read"
85,"Flowers in the Attic",,"The great american read"
86,"Fifty Shades of Grey",,"The great american read"
87,"The Sirens of Titan",,"The great american read"
88,"This Present Darkness",,"The great american read"
89,"Americanah",,"The great american read"
90,"Another Country",,"The great american read"
91,"Bless Me, Ultima",,"The great american read"
92,"Looking for Alaska",,"The great american read"
93,"The Brief Wondrous Life of Oscar Wao",,"The great american read"
94,"Swan Song",,"The great american read"
95,"Mind Invaders",,"The great american read"
96,"White Teeth",,"The great american read"
97,"Ghost",,"The great american read"
98,"The Coldest Winter Ever",,"The great american read"
99,"The Intuitionist",,"The great american read"
100,"Doña Bárbára",,"The great american read"
