year*	novel	author
*In 1969 and 1970 the prize was awarded to a novel published in the year previous to that in which the prize was given. In 1971 the prize was awarded to a novel published that same year, between January and November. Because the rule change precluded eligibility for novels published in 1970, the one-off Lost Man Booker Prize was devised in 2010 to honour such a novel. The winner, decided by public vote, was Troubles by J.G. Farrell.
1969	Something to Answer For	P.H. Newby
1970	The Elected Member	Bernice Rubens
1971	In a Free State	V.S. Naipaul
1972	G.	John Berger
1973	The Siege of Krishnapur	J.G. Farrell
1974	Holiday	Stanley Middleton
The Conservationist	Nadine Gordimer
1975	Heat and Dust	Ruth Prawer Jhabvala
1976	Saville	David Storey
1977	Staying On	Paul Scott
1978	The Sea, the Sea	Iris Murdoch
1979	Offshore	Penelope Fitzgerald
1980	Rites of Passage	William Golding
1981	Midnight's Children	Salman Rushdie
1982	Schindler's Ark	Thomas Keneally
1983	Life & Times of Michael K	J.M. Coetzee
1984	Hotel du Lac	Anita Brookner
1985	The Bone People	Keri Hulme
1986	The Old Devils	Kingsley Amis
1987	Moon Tiger	Penelope Lively
1988	Oscar and Lucinda	Peter Carey
1989	The Remains of the Day	Kazuo Ishiguro
1990	Possession	A.S. Byatt
1991	The Famished Road	Ben Okri
1992	Sacred Hunger	Barry Unsworth
The English Patient	Michael Ondaatje
1993	Paddy Clarke Ha Ha Ha	Roddy Doyle
1994	How Late It Was, How Late	James Kelman
1995	The Ghost Road	Pat Barker
1996	Last Orders	Graham Swift
1997	The God of Small Things	Arundhati Roy
1998	Amsterdam	Ian McEwan
1999	Disgrace	J.M. Coetzee
2000	The Blind Assassin	Margaret Atwood
2001	True History of the Kelly Gang	Peter Carey
2002	Life of Pi	Yann Martel
2003	Vernon God Little	D.B.C. Pierre
2004	The Line of Beauty	Alan Hollinghurst
2005	The Sea	John Banville
2006	The Inheritance of Loss	Kiran Desai
2007	The Gathering	Anne Enright
2008	The White Tiger	Aravind Adiga
2009	Wolf Hall	Hilary Mantel
2010	The Finkler Question	Howard Jacobson
2011	The Sense of an Ending	Julian Barnes
2012	Bring Up the Bodies	Hilary Mantel
2013	The Luminaries	Eleanor Catton
2014	The Narrow Road to the Deep North	Richard Flanagan
2015	A Brief History of Seven Killings	Marlon James
2016	The Sellout	Paul Beatty
2017	Lincoln in the Bardo	George Saunders
2018	Milkman	Anna Burns
2019	The Testaments	Margaret Atwood
Girl, Woman, Other	Bernardine Evaristo
2020	Shuggie Bain	Douglas Stuart
2021	The Promise	Damon Galgut
2022	The Seven Moons of Maali Almeida	Shehan Karunatilaka
2023	Prophet Song	Paul Lynch
