english,deutsch,español,version,cuando
"The Lord of the Rings","Der Herr der Ringe","El Señor de los Anillos","es","Durante nuestro año en Baruta"
"The Bible","Die Bibel","La Biblia","es","Por partes, desde niño"
"Pride and Prejudice","Stolz und Vorurteil",,"en","En Sydney"
"The Hitchhiker's Guide to the Galaxy","Per Anhalter durch die Galaxis",,"??","???"
"Harry Potter and the Goblet of Fire","Harry Potter und der Feuerkelch",,"??","???"
"To Kill a Mockingbird","Wer die Nachtigal stört",,"??","???"
"Nineteen Eighty-Four","1984",,"??","???"
"Catch-22",,,"??","???"
"Rebecca",,,"??","???"
"Captain Corelli's Mandolin",,,"??","???"
"Harry Potter and the Philosopher's Stone","Harry Potter und der Stein der Weisen",,"??","???"
"Harry Potter and the Chamber of Secrets",,,"??","???"
"Harry Potter and the Prisoner of Azkaban","Harry Potter und der Gefangene von Askaban",,"??","???"
"Middlemarch",,,"??","???"
"Alice's Adventures in Wonderland",,,"??","???"
"One Hundred Years of Solitude","Hundert Jahre Einsamkeit",,"??","???"
"Treasure Island",,,"??","???"
"The Great Gatsby",,,"??","???"
"Animal Farm",,,"??","???"
"Lord of the Flies",,,"??","???"
"Perfume","Das Parfum",,"??","???"
"Ulysses",,,"??","???"
"Brave New World",,,"??","???"
"The Godfather",,,"es","Antes de ir a Alemania"
"Love in the Time of Cholera","Die Liebe in den Zeiten der Cholera",,"es","En Sur África"
"Midnight's Children",,,"en","Last book I read in South Africa"
"Les Misérables",,,"??","???"
"The Picture of Dorian Gray",,,"??","???"
"Shōgun",,,"??","???"
"Vanity Fair",,,"??","???"
"The Hound of the Baskervilles",,,"??","???"
"Possession: A Romance",,,"??","???"
"The Handmaid's Tale",,,"??","???"
"All Quiet on the Western Front","Im Westen nichts Neues",,"??","???"
"High Fidelity",,,"??","???"
"It",,,"??","???"
"Frankenstein",,,"??","???"
"The Name of the Rose","Der Name der Rose",,"??","???"
"Lolita",,,"??","???"
"Jonathan Livingston Seagull",,,"??","???"
"The Little Prince","Der kleine Prinz",,"??","???"
"Oliver Twist",,,"??","???"
"The Unbearable Lightness of Being","Die unerträgliche Leichtigkeit des Seins",,"??","???"
,"Das Geisterhaus",,"??","???"
,"Der Vorleser",,"??","???"
,"Faust. Der Tragödie erster Teil",,"??","???"
,"Der Schatten des Windes",,"??","???"
,"Harry Potter und der Orden des Phönix",,"??","???"
,"Narziss und Goldmund",,"??","???"
,"Homo faber",,"??","???"
,"Der Steppenwolf",,"??","???"
,"Die Blechtrommel",,"??","???"
,"Tagebuch",,"??","???"
,"Nirgendwo in Afrika",,"??","???"
,"Paula",,"??","???"
,"Schachnovelle",,"??","???"
,"Illuminati",,"??","???"
