1,"The Lord of the Rings","J. R. R. Tolkien","UK The Big Read"
2,"Pride and Prejudice","Jane Austen","UK The Big Read"
3,"His Dark Materials","Philip Pullman","UK The Big Read"
4,"The Hitchhiker's Guide to the Galaxy","Douglas Adams","UK The Big Read"
5,"Harry Potter and the Goblet of Fire","J. K. Rowling","UK The Big Read"
6,"To Kill a Mockingbird","Harper Lee","UK The Big Read"
7,"Winnie-the-Pooh","A. A. Milne","UK The Big Read"
8,"Nineteen Eighty-Four","George Orwell","UK The Big Read"
9,"The Lion, the Witch and the Wardrobe","C. S. Lewis","UK The Big Read"
10,"Jane Eyre","Charlotte Brontë","UK The Big Read"
11,"Catch-22","Joseph Heller","UK The Big Read"
12,"Wuthering Heights","Emily Brontë","UK The Big Read"
13,"Birdsong","Sebastian Faulks","UK The Big Read"
14,"Rebecca","Daphne du Maurier","UK The Big Read"
15,"The Catcher in the Rye","J. D. Salinger","UK The Big Read"
16,"The Wind in the Willows","Kenneth Grahame","UK The Big Read"
17,"Great Expectations","Charles Dickens","UK The Big Read"
18,"Little Women","Louisa May Alcott","UK The Big Read"
19,"Captain Corelli's Mandolin","Louis de Bernières","UK The Big Read"
20,"War and Peace","Leo Tolstoy","UK The Big Read"
21,"Gone with the Wind","Margaret Mitchell","UK The Big Read"
22,"Harry Potter and the Philosopher's Stone","J. K. Rowling","UK The Big Read"
23,"Harry Potter and the Chamber of Secrets","J. K. Rowling","UK The Big Read"
24,"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","UK The Big Read"
25,"The Hobbit","J. R. R. Tolkien","UK The Big Read"
26,"Tess of the d'Urbervilles","Thomas Hardy","UK The Big Read"
27,"Middlemarch","George Eliot","UK The Big Read"
28,"A Prayer for Owen Meany","John Irving","UK The Big Read"
29,"The Grapes of Wrath","John Steinbeck","UK The Big Read"
30,"Alice's Adventures in Wonderland","Lewis Carroll","UK The Big Read"
31,"The Story of Tracy Beaker","Jacqueline Wilson","UK The Big Read"
32,"One Hundred Years of Solitude","Gabriel García Márquez","UK The Big Read"
33,"The Pillars of the Earth","Ken Follett","UK The Big Read"
34,"David Copperfield","Charles Dickens","UK The Big Read"
35,"Charlie and the Chocolate Factory","Roald Dahl","UK The Big Read"
36,"Treasure Island","Robert Louis Stevenson","UK The Big Read"
37,"A Town Like Alice","Nevil Shute","UK The Big Read"
38,"Persuasion","Jane Austen","UK The Big Read"
39,"Dune","Frank Herbert","UK The Big Read"
40,"Emma","Jane Austen","UK The Big Read"
41,"Anne of Green Gables","Lucy Maud Montgomery","UK The Big Read"
42,"Watership Down","Richard Adams","UK The Big Read"
43,"The Great Gatsby","F. Scott Fitzgerald","UK The Big Read"
44,"The Count of Monte Cristo","Alexandre Dumas","UK The Big Read"
45,"Brideshead Revisited","Evelyn Waugh","UK The Big Read"
46,"Animal Farm","George Orwell","UK The Big Read"
47,"A Christmas Carol","Charles Dickens","UK The Big Read"
48,"Far from the Madding Crowd","Thomas Hardy","UK The Big Read"
49,"Goodnight Mister Tom","Michelle Magorian","UK The Big Read"
50,"The Shell Seekers","Rosamunde Pilcher","UK The Big Read"
51,"The Secret Garden","Frances Hodgson Burnett","UK The Big Read"
52,"Of Mice and Men","John Steinbeck","UK The Big Read"
53,"The Stand","Stephen King","UK The Big Read"
54,"Anna Karenina","Leo Tolstoy","UK The Big Read"
55,"A Suitable Boy","Vikram Seth","UK The Big Read"
56,"The BFG","Roald Dahl","UK The Big Read"
57,"Swallows and Amazons","Arthur Ransome","UK The Big Read"
58,"Black Beauty","Anna Sewell","UK The Big Read"
59,"Artemis Fowl","Eoin Colfer","UK The Big Read"
60,"Crime and Punishment","Fyodor Dostoyevsky","UK The Big Read"
61,"Noughts & Crosses","Malorie Blackman","UK The Big Read"
62,"Memoirs of a Geisha","Arthur Golden","UK The Big Read"
63,"A Tale of Two Cities","Charles Dickens","UK The Big Read"
64,"The Thorn Birds","Colleen McCullough","UK The Big Read"
65,"Mort","Terry Pratchett","UK The Big Read"
66,"The Magic Faraway Tree","Enid Blyton","UK The Big Read"
67,"The Magus","John Fowles","UK The Big Read"
68,"Good Omens","Neil Gaiman and Terry Pratchett","UK The Big Read"
69,"Guards! Guards!","Terry Pratchett","UK The Big Read"
70,"Lord of the Flies","William Golding","UK The Big Read"
71,"Perfume","Patrick Süskind","UK The Big Read"
72,"The Ragged-Trousered Philanthropists","Robert Tressell","UK The Big Read"
73,"Night Watch","Terry Pratchett","UK The Big Read"
74,"Matilda","Roald Dahl","UK The Big Read"
75,"Bridget Jones's Diary","Helen Fielding","UK The Big Read"
76,"The Secret History","Donna Tartt","UK The Big Read"
77,"The Woman in White","Wilkie Collins","UK The Big Read"
78,"Ulysses","James Joyce","UK The Big Read"
79,"Bleak House","Charles Dickens","UK The Big Read"
80,"Double Act","Jacqueline Wilson","UK The Big Read"
81,"The Twits","Roald Dahl","UK The Big Read"
82,"I Capture the Castle","Dodie Smith","UK The Big Read"
83,"Holes","Louis Sachar","UK The Big Read"
84,"Gormenghast","Mervyn Peake","UK The Big Read"
85,"The God of Small Things","Arundhati Roy","UK The Big Read"
86,"Vicky Angel","Jacqueline Wilson","UK The Big Read"
87,"Brave New World","Aldous Huxley","UK The Big Read"
88,"Cold Comfort Farm","Stella Gibbons","UK The Big Read"
89,"Magician","Raymond E. Feist","UK The Big Read"
90,"On the Road","Jack Kerouac","UK The Big Read"
91,"The Godfather","Mario Puzo","UK The Big Read"
92,"The Clan of the Cave Bear","Jean M. Auel","UK The Big Read"
93,"The Colour of Magic","Terry Pratchett","UK The Big Read"
94,"The Alchemist","Paulo Coelho","UK The Big Read"
95,"Katherine","Anya Seton","UK The Big Read"
96,"Kane and Abel","Jeffrey Archer","UK The Big Read"
97,"Love in the Time of Cholera","Gabriel García Márquez","UK The Big Read"
98,"Girls in Love","Jacqueline Wilson","UK The Big Read"
99,"The Princess Diaries","Meg Cabot","UK The Big Read"
100,"Midnight's Children","Salman Rushdie","UK The Big Read"
101,"Three Men in a Boat","Jerome K. Jerome","UK The Big Read"
102,"Small Gods","Terry Pratchett","UK The Big Read"
103,"The Beach","Alex Garland","UK The Big Read"
104,"Dracula","Bram Stoker","UK The Big Read"
105,"Point Blanc","Anthony Horowitz","UK The Big Read"
106,"The Pickwick Papers","Charles Dickens","UK The Big Read"
107,"Stormbreaker","Anthony Horowitz","UK The Big Read"
108,"The Wasp Factory","Iain Banks","UK The Big Read"
109,"The Day of the Jackal","Frederick Forsyth","UK The Big Read"
110,"The Illustrated Mum","Jacqueline Wilson","UK The Big Read"
111,"Jude the Obscure","Thomas Hardy","UK The Big Read"
112,"The Secret Diary of Adrian Mole, Aged 13¾","Sue Townsend","UK The Big Read"
113,"The Cruel Sea","Nicholas Monsarrat","UK The Big Read"
114,"Les Misérables","Victor Hugo","UK The Big Read"
115,"The Mayor of Casterbridge","Thomas Hardy","UK The Big Read"
116,"The Dare Game","Jacqueline Wilson","UK The Big Read"
117,"Bad Girls","Jacqueline Wilson","UK The Big Read"
118,"The Picture of Dorian Gray","Oscar Wilde","UK The Big Read"
119,"Shōgun","James Clavell","UK The Big Read"
120,"The Day of the Triffids","John Wyndham","UK The Big Read"
121,"Lola Rose","Jacqueline Wilson","UK The Big Read"
122,"Vanity Fair","William Makepeace Thackeray","UK The Big Read"
123,"The Forsyte Saga","John Galsworthy","UK The Big Read"
124,"House of Leaves","Mark Z. Danielewski","UK The Big Read"
125,"The Poisonwood Bible","Barbara Kingsolver","UK The Big Read"
126,"Reaper Man","Terry Pratchett","UK The Big Read"
127,"Angus, Thongs and Full-Frontal Snogging","Louise Rennison","UK The Big Read"
128,"The Hound of the Baskervilles","Arthur Conan Doyle","UK The Big Read"
129,"Possession: A Romance","A. S. Byatt","UK The Big Read"
130,"The Master and Margarita","Mikhail Bulgakov","UK The Big Read"
131,"The Handmaid's Tale","Margaret Atwood","UK The Big Read"
132,"Danny, the Champion of the World","Roald Dahl","UK The Big Read"
133,"East of Eden","John Steinbeck","UK The Big Read"
134,"George's Marvellous Medicine","Roald Dahl","UK The Big Read"
135,"Wyrd Sisters","Terry Pratchett","UK The Big Read"
136,"The Color Purple","Alice Walker","UK The Big Read"
137,"Hogfather","Terry Pratchett","UK The Big Read"
138,"The Thirty-Nine Steps","John Buchan","UK The Big Read"
139,"Girls in Tears","Jacqueline Wilson","UK The Big Read"
140,"Sleepovers","Jacqueline Wilson","UK The Big Read"
